Model,Model Number,Completeness,Sequence,Horizon,WindowSize,MAE,Anomaly Percentage,Anomaly Threshold
LSTM,482,0.94,7240,3,48,0.21,0.250,1.8
LSTM,483,0.94,7240,3,96,0.23,0.148,1.9
Linear,484,0.94,7240,6,1,0.40,0.015,2.8
LSTM,485,0.94,7240,6,3,0.37,0.044,2.7
LSTM,486,0.94,7240,6,6,0.33,0.000,2.6
LSTM,487,0.94,7240,6,12,0.34,0.029,2.6
LSTM,488,0.94,7240,6,24,0.30,0.073,2.5
LSTM,489,0.94,7240,6,48,0.30,0.044,2.6
LSTM,490,0.94,7240,6,96,0.30,0.030,2.5
Linear,491,0.94,7240,12,1,0.63,0.000,3.9
LSTM,492,0.94,7240,12,3,0.56,0.000,3.7
LSTM,493,0.94,7240,12,6,0.50,0.015,3.7
LSTM,494,0.94,7240,12,12,0.38,0.029,3.2
LSTM,495,0.94,7240,12,24,0.43,0.000,3.3
LSTM,496,0.94,7240,12,48,0.36,0.000,3.1
LSTM,497,0.94,7240,12,96,0.56,0.000,3.9
Linear,498,0.94,7240,24,1,0.77,0.000,4.8
LSTM,499,0.94,7240,24,3,0.67,0.000,4.6
LSTM,500,0.94,7240,24,6,0.55,0.000,4.1
LSTM,501,0.94,7240,24,12,0.50,0.000,4
LSTM,502,0.94,7240,24,24,0.47,0.000,4.1
LSTM,503,0.94,7240,24,48,0.46,0.000,3.8
LSTM,504,0.94,7240,24,96,0.70,0.000,4.9
Linear,505,0.94,9050,3,1,0.24,0.219,1.9
LSTM,506,0.94,9050,3,3,0.23,0.175,1.9
LSTM,507,0.94,9050,3,6,0.23,0.176,1.9
LSTM,508,0.94,9050,3,12,0.22,0.190,1.9
LSTM,509,0.94,9050,3,24,0.23,0.132,2.1
LSTM,510,0.94,9050,3,48,0.24,0.176,2
LSTM,511,0.94,9050,3,96,0.23,0.488,2.2
Linear,512,0.94,9050,6,1,0.40,0.015,2.8
LSTM,513,0.94,9050,6,3,0.36,0.044,2.7
LSTM,514,0.94,9050,6,6,0.32,0.000,2.6
LSTM,515,0.94,9050,6,12,0.32,0.088,2.6
LSTM,516,0.94,9050,6,24,0.32,0.059,2.5
LSTM,517,0.94,9050,6,48,0.38,0.029,2.8
LSTM,518,0.94,9050,6,96,0.31,0.030,2.5
Linear,519,0.94,9050,12,1,0.63,0.000,3.9
LSTM,520,0.94,9050,12,3,0.57,0.000,3.7
LSTM,521,0.94,9050,12,6,0.50,0.029,3.5
LSTM,522,0.94,9050,12,12,0.40,0.103,3.1
LSTM,523,0.94,9050,12,24,0.41,0.000,3.3
LSTM,524,0.94,9050,12,48,0.63,0.000,4.1
LSTM,525,0.94,9050,12,96,0.41,0.000,3.2
Linear,526,0.94,9050,24,1,0.77,0.000,4.8
LSTM,527,0.94,9050,24,3,0.66,0.000,4.6
LSTM,528,0.94,9050,24,6,0.59,0.000,4.1
LSTM,529,0.94,9050,24,12,0.48,0.000,3.9
LSTM,530,0.94,9050,24,24,0.78,0.000,4.7
LSTM,531,0.94,9050,24,48,0.46,0.000,4
LSTM,532,0.94,9050,24,96,0.71,0.000,4.8
