Model,Model Number,Completeness,Sequence Length,Horizon,Window Size,MAE,Anomaly Percentage,Anomaly Threshold
LSTM,485,0.96,6440,24,3,0.61,0.000,6.1
LSTM,486,0.96,6440,24,6,0.47,0.000,4.1
LSTM,487,0.96,6440,24,12,0.45,0.000,3.8
LSTM,488,0.96,6440,24,24,0.44,0.000,3.9
LSTM,489,0.96,6440,24,48,0.43,0.000,3.4
LSTM,490,0.96,6440,24,96,0.40,0.000,3.4
Linear,491,0.94,1810,1,1,0.82,0.000,4.3
LSTM,492,0.94,1810,1,3,0.22,0.073,1.6
LSTM,493,0.94,1810,1,6,0.19,0.073,1.7
LSTM,494,0.94,1810,1,12,0.23,0.102,1.5
LSTM,495,0.94,1810,1,24,0.17,0.147,1.4
LSTM,496,0.94,1810,1,48,0.25,0.015,2.1
LSTM,497,0.94,1810,1,96,0.19,0.148,1.5
Linear,498,0.94,1810,3,1,0.22,0.249,1.6
LSTM,499,0.94,1810,3,3,0.34,0.015,2.6
LSTM,500,0.94,1810,3,6,0.23,0.088,1.9
LSTM,501,0.94,1810,3,12,0.25,0.073,2.1
LSTM,502,0.94,1810,3,24,0.32,0.015,2.7
LSTM,503,0.94,1810,3,48,0.30,0.059,2.6
LSTM,504,0.94,1810,3,96,0.29,0.059,2.6
Linear,505,0.94,1810,6,1,0.31,0.073,2.1
LSTM,506,0.94,1810,6,3,0.27,0.044,2.2
LSTM,507,0.94,1810,6,6,0.29,0.000,2.5
LSTM,508,0.94,1810,6,12,0.31,0.029,2.3
LSTM,509,0.94,1810,6,24,0.41,0.147,4.3
LSTM,510,0.94,1810,6,48,0.39,0.088,3.4
LSTM,511,0.94,1810,6,96,0.29,0.089,2.4
Linear,512,0.94,1810,12,1,0.36,0.000,2.4
LSTM,513,0.94,1810,12,3,0.54,0.029,3.9
LSTM,514,0.94,1810,12,6,0.36,0.073,3.3
LSTM,515,0.94,1810,12,12,0.36,0.000,2.9
LSTM,516,0.94,1810,12,24,0.40,0.015,3.3
LSTM,517,0.94,1810,12,48,0.33,0.000,2.8
LSTM,518,0.94,1810,12,96,0.34,0.030,3
Linear,519,0.94,1810,24,1,0.74,0.000,4
LSTM,520,0.94,1810,24,3,0.42,0.000,3.5
LSTM,521,0.94,1810,24,6,0.40,0.000,3
LSTM,522,0.94,1810,24,12,0.41,0.000,3.6
LSTM,523,0.94,1810,24,24,0.40,0.000,3.3
LSTM,524,0.94,1810,24,48,0.38,0.000,3.2
LSTM,525,0.94,1810,24,96,0.44,0.000,3.5
Linear,526,0.94,3620,1,1,0.47,0.000,2.4
LSTM,527,0.94,3620,1,3,0.23,0.102,1.6
LSTM,528,0.94,3620,1,6,0.19,0.132,1.4
LSTM,529,0.94,3620,1,12,0.30,0.000,2
LSTM,530,0.94,3620,1,24,0.17,0.103,1.4
LSTM,531,0.94,3620,1,48,0.19,0.132,1.5
LSTM,532,0.94,3620,1,96,0.19,0.488,1.9
Linear,533,0.94,3620,3,1,0.22,0.249,1.6
LSTM,534,0.94,3620,3,3,0.27,0.088,2.2
LSTM,535,0.94,3620,3,6,0.26,0.059,2
LSTM,536,0.94,3620,3,12,0.27,0.102,2.3
LSTM,537,0.94,3620,3,24,0.24,0.073,1.9
LSTM,538,0.94,3620,3,48,0.24,0.118,1.9
LSTM,539,0.94,3620,3,96,0.26,0.118,2.4
Linear,540,0.94,3620,6,1,0.32,0.058,2.3
LSTM,541,0.94,3620,6,3,0.29,0.029,2.3
LSTM,542,0.94,3620,6,6,0.46,0.000,3.4
LSTM,543,0.94,3620,6,12,0.33,0.029,2.9
LSTM,544,0.94,3620,6,24,0.34,0.191,2.6
LSTM,545,0.94,3620,6,48,0.30,0.147,2.6
LSTM,546,0.94,3620,6,96,0.31,0.000,2.6
Linear,547,0.94,3620,12,1,0.55,0.000,3.4
LSTM,548,0.94,3620,12,3,0.32,0.000,2.6
LSTM,549,0.94,3620,12,6,0.35,0.000,2.9
LSTM,550,0.94,3620,12,12,0.38,0.044,3.5
LSTM,551,0.94,3620,12,24,0.45,0.000,3.3
LSTM,552,0.94,3620,12,48,0.33,0.029,2.9
LSTM,553,0.94,3620,12,96,0.33,0.015,2.7
Linear,554,0.94,3620,24,1,0.40,0.000,3.1
LSTM,555,0.94,3620,24,3,0.49,0.000,4.4
LSTM,556,0.94,3620,24,6,0.44,0.000,3.5
LSTM,557,0.94,3620,24,12,0.56,0.000,3.9
LSTM,558,0.94,3620,24,24,0.41,0.000,3.1
LSTM,559,0.94,3620,24,48,0.36,0.000,3
LSTM,560,0.94,3620,24,96,0.48,0.000,3.5
Linear,561,0.94,5430,1,1,0.31,0.029,1.7
LSTM,562,0.94,5430,1,3,0.19,0.073,1.6
LSTM,563,0.94,5430,1,6,0.19,0.175,1.6
LSTM,564,0.94,5430,1,12,0.20,0.380,1.6
LSTM,565,0.94,5430,1,24,0.21,0.000,1.9
LSTM,566,0.94,5430,1,48,0.22,0.176,1.6
LSTM,567,0.94,5430,1,96,0.21,0.192,1.5
Linear,568,0.94,5430,3,1,0.96,0.000,5
LSTM,569,0.94,5430,3,3,0.27,0.073,2.4
LSTM,570,0.94,5430,3,6,0.26,0.029,2.2
LSTM,571,0.94,5430,3,12,0.24,0.161,1.9
LSTM,572,0.94,5430,3,24,0.22,0.103,1.8
LSTM,573,0.94,5430,3,48,0.28,0.073,2.2
LSTM,574,0.94,5430,3,96,0.31,0.000,2.3
Linear,575,0.94,5430,6,1,0.49,0.000,2.9
LSTM,576,0.94,5430,6,3,0.33,0.029,2.6
LSTM,577,0.94,5430,6,6,0.33,0.044,3.1
LSTM,578,0.94,5430,6,12,0.31,0.088,2.8
LSTM,579,0.94,5430,6,24,0.27,0.073,2.2
LSTM,580,0.94,5430,6,48,0.28,0.147,2.3
LSTM,581,0.94,5430,6,96,0.33,0.044,2.8
Linear,582,0.94,5430,12,1,0.33,0.000,2.6
LSTM,583,0.94,5430,12,3,0.37,0.000,3.1
LSTM,584,0.94,5430,12,6,0.34,0.000,2.8
LSTM,585,0.94,5430,12,12,0.39,0.000,3.5
LSTM,586,0.94,5430,12,24,0.32,0.029,2.6
LSTM,587,0.94,5430,12,48,0.40,0.000,3.1
LSTM,588,0.94,5430,12,96,0.32,0.000,2.6
Linear,589,0.94,5430,24,1,3.24,0.000,16
LSTM,590,0.94,5430,24,3,0.42,0.000,3.4
LSTM,591,0.94,5430,24,6,0.36,0.000,2.9
LSTM,592,0.94,5430,24,12,0.37,0.029,2.9
LSTM,593,0.94,5430,24,24,0.38,0.000,3.1
LSTM,594,0.94,5430,24,48,0.42,0.000,3.3
LSTM,595,0.94,5430,24,96,0.38,0.000,3.3
Linear,596,0.94,7240,1,1,1.09,0.000,5.6
LSTM,597,0.94,7240,1,3,0.18,0.307,1.4
LSTM,598,0.94,7240,1,6,0.16,0.263,1.3
LSTM,599,0.94,7240,1,12,0.21,0.073,1.6
LSTM,600,0.94,7240,1,24,0.18,0.161,1.5
LSTM,601,0.94,7240,1,48,0.19,0.118,1.5
LSTM,602,0.94,7240,1,96,0.23,0.030,1.8
Linear,603,0.94,7240,3,1,0.27,0.102,1.9
LSTM,604,0.94,7240,3,3,0.26,0.102,1.9
LSTM,605,0.94,7240,3,6,0.26,0.059,2
LSTM,606,0.94,7240,3,12,0.24,0.088,1.8
LSTM,607,0.94,7240,3,24,0.28,0.147,2.2
LSTM,608,0.94,7240,3,48,0.25,0.088,1.9
LSTM,609,0.94,7240,3,96,0.27,0.044,2.2
Linear,610,0.94,7240,6,1,0.39,0.015,2.5
LSTM,611,0.94,7240,6,3,0.47,0.000,4.2
LSTM,612,0.94,7240,6,6,0.41,0.029,3.1
LSTM,613,0.94,7240,6,12,0.36,0.015,2.9
LSTM,614,0.94,7240,6,24,0.30,0.044,2.5
LSTM,615,0.94,7240,6,48,0.33,0.029,2.4
LSTM,616,0.94,7240,6,96,0.27,0.104,2.4
Linear,617,0.94,7240,12,1,0.66,0.000,3.7
LSTM,618,0.94,7240,12,3,0.36,0.029,2.8
LSTM,619,0.94,7240,12,6,0.34,0.000,2.8
LSTM,620,0.94,7240,12,12,0.36,0.000,3
LSTM,621,0.94,7240,12,24,0.40,0.044,3.6
LSTM,622,0.94,7240,12,48,0.34,0.000,2.7
LSTM,623,0.94,7240,12,96,0.41,0.000,3.3
Linear,624,0.94,7240,24,1,1.16,0.000,5.8
LSTM,625,0.94,7240,24,3,0.39,0.015,3.4
LSTM,626,0.94,7240,24,6,0.44,0.132,3.8
LSTM,627,0.94,7240,24,12,0.41,0.000,3.3
LSTM,628,0.94,7240,24,24,0.38,0.000,3.1
LSTM,629,0.94,7240,24,48,0.46,0.000,3.6
LSTM,630,0.94,7240,24,96,0.43,0.015,3.5
Linear,631,0.94,9050,1,1,0.13,0.263,1.1
LSTM,632,0.94,9050,1,3,0.18,0.117,1.5
LSTM,633,0.94,9050,1,6,0.23,0.044,1.7
LSTM,634,0.94,9050,1,12,0.18,0.161,1.4
LSTM,635,0.94,9050,1,24,0.19,0.132,1.4
LSTM,636,0.94,9050,1,48,0.18,0.073,1.5
LSTM,637,0.94,9050,1,96,0.22,0.059,1.6
Linear,638,0.94,9050,3,1,0.33,0.058,1.9
LSTM,639,0.94,9050,3,3,0.25,0.102,1.9
LSTM,640,0.94,9050,3,6,0.24,0.161,1.8
LSTM,641,0.94,9050,3,12,0.31,0.190,2.4
LSTM,642,0.94,9050,3,24,0.62,0.000,4.2
LSTM,643,0.94,9050,3,48,0.23,0.073,1.7
LSTM,644,0.94,9050,3,96,0.39,0.044,2.6
Linear,645,0.94,9050,6,1,0.29,0.088,2.1
LSTM,646,0.94,9050,6,3,0.30,0.015,2.4
LSTM,647,0.94,9050,6,6,0.30,0.073,2.6
LSTM,648,0.94,9050,6,12,0.31,0.088,2.3
LSTM,649,0.94,9050,6,24,0.29,0.029,2.4
LSTM,650,0.94,9050,6,48,0.38,0.279,3.8
LSTM,651,0.94,9050,6,96,0.32,0.044,2.3
Linear,652,0.94,9050,12,1,0.64,0.000,3.7
LSTM,653,0.94,9050,12,3,0.35,0.000,2.9
LSTM,654,0.94,9050,12,6,0.42,0.000,3.5
LSTM,655,0.94,9050,12,12,0.37,0.132,3.5
LSTM,656,0.94,9050,12,24,0.44,0.029,3.7
LSTM,657,0.94,9050,12,48,0.35,0.000,2.8
LSTM,658,0.94,9050,12,96,0.54,0.000,3.9
Linear,659,0.94,9050,24,1,0.87,0.000,4.6
LSTM,660,0.94,9050,24,3,0.39,0.000,3.4
LSTM,661,0.94,9050,24,6,0.42,0.015,3.1
LSTM,662,0.94,9050,24,12,0.43,0.029,3.9
LSTM,663,0.94,9050,24,24,0.48,0.000,3.8
LSTM,664,0.94,9050,24,48,0.35,0.000,3.1
LSTM,665,0.94,9050,24,96,0.45,0.000,3.5
